Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,RoamMins
0,128,1,1,2.7,1,265.1,110,89,10
0,107,1,1,3.7,1,161.6,123,82,13.7
0,137,1,0,0,0,243.4,114,52,12.2
0,84,0,0,0,2,299.4,71,57,6.6
0,75,0,0,0,3,166.7,113,41,10.1
0,118,0,0,0,0,223.4,98,57,6.3
0,121,1,1,2.03,3,218.2,88,87.3,7.5
0,147,0,0,0,0,157,79,36,7.1
0,117,1,0,0.19,1,184.5,97,63.9,8.7
0,141,0,1,3.02,0,258.6,84,93.2,11.2
1,65,1,0,0.29,4,129.1,137,44.9,12.7
0,74,1,0,0.34,0,187.7,127,49.4,9.1
0,168,1,0,0,1,128.8,96,31,11.2
0,95,1,0,0.44,3,156.6,88,52.4,12.3
0,62,1,0,0,4,120.7,70,47,13.1
1,161,1,0,0,4,332.9,67,84,5.4
0,85,1,1,3.73,1,196.4,139,95.3,13.8
0,93,1,0,0,3,190.7,114,51,8.1
0,76,1,1,2.7,1,189.7,66,78,10
0,73,1,0,0,1,224.4,90,52,13
0,147,1,0,0.31,0,155.1,117,50.1,10.6
1,77,1,0,0,5,62.4,89,26,5.7
0,130,1,0,0,0,183,112,38,9.5
0,111,1,0,0.39,2,110.4,103,34.9,7.7
0,132,1,0,0,0,81.1,86,35,10.3
0,174,1,0,0,3,124.3,76,45,15.5
0,57,1,1,2.57,0,213,115,78.7,9.5
0,54,1,0,0,3,134.3,73,37,14.7
0,20,1,0,0.32,0,190,109,58.2,6.3
0,49,1,0,0.21,1,119.3,117,41.1,11.1
0,142,1,0,0,2,84.8,95,27,14.2
0,75,1,0,0,1,226.1,105,56,10.3
0,172,1,0,0,3,212,121,39,12.6
1,12,1,0,0,1,249.6,118,64,11.8
0,57,1,1,2.24,0,176.8,94,69.4,8.3
0,72,1,1,3.97,3,220,80,95.7,14.7
0,36,1,1,3.92,0,146.3,128,78.2,14.5
0,78,1,0,0,1,130.8,64,42,10
0,136,0,1,2.84,3,203.9,106,79.4,10.5
0,149,1,0,0,1,140.4,94,47,11.1
0,98,1,0,0.3,3,126.3,102,39,9.4
1,135,0,1,3.94,0,173.1,85,86.4,14.6
0,34,1,0,0,2,124.8,82,46,10
0,160,1,0,0.38,3,85.8,77,32.8,9.2
0,64,1,0,0.24,1,154,67,48.4,3.5
0,59,1,1,2.3,2,120.9,97,62,8.5
0,65,1,0,0,3,211.3,120,50,13.2
0,142,1,0,0.35,2,187,133,47.5,7.4
1,119,1,0,0,5,159.1,114,47,8.8
0,97,1,1,2.97,1,133.2,135,71.7,11
0,52,1,0,0.32,3,191.9,108,59.2,7.8
0,60,1,0,0,1,220.6,57,56,6.8
0,10,1,0,0,2,186.1,112,48,11.4
0,96,1,0,0.21,2,160.2,117,52.1,9.3
1,87,1,0,0,5,151,83,45,9.7
0,81,1,0,0.11,1,175.5,67,53.1,10.2
0,141,1,0,0,1,126.9,98,37,8
1,121,1,1,1.57,3,198.4,129,56.7,5.8
0,68,1,0,0,3,148.8,70,47,12.1
0,125,1,0,0,1,229.3,103,55,12
0,174,1,0,0,1,192.1,97,48,11.4
0,116,1,1,3.13,2,268.6,83,92.3,11.6
0,74,1,1,3.94,2,193.7,91,93.4,14.6
0,149,1,1,3.4,3,180.7,92,81,12.6
0,38,1,0,0,2,131.2,98,37,8.2
0,40,1,1,1.67,2,148.1,74,56.7,6.2
0,43,0,0,0,0,251.5,105,61,9.3
0,113,0,0,0,0,125.2,93,39,8.3
0,126,1,0,0,1,211.6,70,55,7.8
1,150,1,0,0,4,178.9,101,45,13.8
0,138,1,0,0,3,241.8,93,56,11.8
0,162,1,1,3.27,0,224.9,97,87.7,12.1
0,147,1,0,0,3,248.6,83,55,8
0,90,1,0,0,1,203.4,146,54,7.3
0,85,1,0,0,0,235.8,109,54,12
0,50,1,0,0,1,157.1,90,46,6.1
1,82,1,0,0.21,0,300.3,109,69.1,11.7
1,144,1,0,0.21,4,61.6,117,20.1,8.2
0,46,1,0,0.26,2,214.1,72,53.6,8.2
0,70,1,0,0.3,1,170.2,98,46,15
0,144,1,0,0,1,201.1,99,60,13.2
0,116,0,0,0.3,3,215.4,104,58,12.6
0,55,1,1,2.97,3,165.6,123,69.7,11
0,70,1,1,2.65,1,249.5,101,91.5,9.8
1,106,1,0,0,2,210.6,96,57,12.4
0,128,1,1,2.32,0,179.3,104,73.2,8.6
1,94,1,0,0,4,157.9,105,41,8
0,111,1,0,0,1,214.3,118,55,12
0,74,1,1,2.94,2,154.1,104,66.4,10.9
1,128,1,0,0,1,237.9,125,62,13.9
